"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","CH Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","Encryption Type","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS Report","APRS Report Channel"
"1","W8RP.Local","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"2","MI State Wide","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","MI Statewide","Group Call","3126","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","1","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"3","USA Nationwide","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","USA Nationwide","Group Call","3100","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"4","North America","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","North America","Group Call","93","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"5","Parrot","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","Parrot","Private Call","9990","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"6","TAC310-US","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","TAC-310 USA DMRX","Group Call","310","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"7","TAC311-US","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","TAC-311 USA DMRX","Group Call","311","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"8","TAC312-US","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","TAC-312 USA DMRX","Group Call","312","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","W8RP Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","1"
"9","Mi5-STATE1","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","Mi5-STATEWIDE1","Group Call","31261","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"10","Mi5-STATE2","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","Mi5-STATEWIDE2","Group Call","31262","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"11","World Wide","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","World Wide","Group Call","91","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"12","TS2 Custom","443.50000","448.50000","D-Digital","Turbo","12.5K","Off","Off","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"13","2M Call","146.52000","146.52000","A-Analog","Turbo","25K","Off","Off","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Off","Carrier","Off","1","1","1","Off","1","1","Analog Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","255.0","0","Off","Off","Off","1"
"14","70CM Call","446.00000","446.00000","A-Analog","Turbo","25K","Off","Off","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Off","Carrier","Off","1","1","1","Off","1","1","Analog Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"15","N8DUY Ann Arbor","145.15000","144.55000","A-Analog","Turbo","25K","Off","100.0","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Off","Carrier","Off","1","1","1","Off","1","1","Analog Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"16","ARROW 2M","146.96000","146.36000","A-Analog","Turbo","25K","Off","100.0","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Off","Carrier","Off","1","1","1","Off","1","1","Analog Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
"17","W8FSA Ypsi","146.92000","146.32000","A-Analog","Turbo","25K","Off","100.0","W8RP.Local","Group Call","312654","AT-D868UV DMR ID","Off","Carrier","Off","1","1","1","Off","1","1","Analog Scan","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","1"
