"No.","Frequency[MHz]","Scan"
"1","88.100","Add"
"2","88.300","Add"
"3","88.500","Add"
"4","88.700","Add"
"5","88.900","Add"
"6","89.100","Add"
"7","89.300","Add"
"8","89.500","Add"
"9","89.700","Add"
"10","89.900","Add"
"11","90.100","Add"
"12","90.300","Add"
"13","90.500","Add"
"14","90.700","Add"
"15","90.900","Add"
"16","91.100","Add"
"17","91.300","Add"
"18","91.500","Add"
"19","91.700","Add"
"20","91.900","Add"
"21","92.100","Add"
"22","92.300","Add"
"23","92.500","Add"
"24","92.700","Add"
"25","92.900","Add"
"26","93.100","Add"
"27","93.300","Add"
"28","93.500","Add"
"29","93.700","Add"
"30","93.900","Add"
"31","94.100","Add"
"32","94.300","Add"
"33","94.500","Add"
"34","94.700","Add"
"35","94.900","Add"
"36","95.100","Add"
"37","95.300","Add"
"38","95.500","Add"
"39","95.700","Add"
"40","95.900","Add"
"41","96.100","Add"
"42","96.300","Add"
"43","96.500","Add"
"44","96.700","Add"
"45","96.900","Add"
"46","97.100","Add"
"47","97.300","Add"
"48","97.500","Add"
"49","97.700","Add"
"50","97.900","Add"
"51","98.100","Add"
"52","98.300","Add"
"53","98.500","Add"
"54","98.700","Add"
"55","98.900","Add"
"56","99.100","Add"
"57","99.300","Add"
"58","99.500","Add"
"59","99.700","Add"
"60","99.900","Add"
"61","100.100","Add"
"62","100.300","Add"
"63","100.500","Add"
"64","100.700","Add"
"65","100.900","Add"
"66","101.100","Add"
"67","101.300","Add"
"68","101.500","Add"
"69","101.700","Add"
"70","101.900","Add"
"71","102.100","Add"
"72","102.300","Add"
"73","102.500","Add"
"74","102.700","Add"
"75","102.900","Add"
"76","103.100","Add"
"77","103.300","Add"
"78","103.500","Add"
"79","103.700","Add"
"80","103.900","Add"
"81","104.100","Add"
"82","104.300","Add"
"83","104.500","Add"
"84","104.700","Add"
"85","104.900","Add"
"86","105.100","Add"
"87","105.300","Add"
"88","105.500","Add"
"89","105.700","Add"
"90","105.900","Add"
"91","106.100","Add"
"92","106.300","Add"
"93","106.500","Add"
"94","106.700","Add"
"95","106.900","Add"
"96","107.100","Add"
"97","107.300","Add"
"98","107.500","Add"
"99","107.700","Add"
"100","107.900","Add"
